date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:09	3383/3383	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202018%2019:23:08%20GMT	http://phydev.web44.net/robots.txt		(from )
15:23:09	39402/39402	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:23:08%20GMT	http://phydev.web44.net/flame/index-1.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-1.html	(from )
15:23:10	5658/5658	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Nov%202017%2022:34:56%20GMT	http://phydev.web44.net/flame/css/magnific-popup.css	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/css/magnific-popup.css	(from http://phydev.web44.net/flame/index-1.html)
15:23:10	2936/2936	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Nov%202017%2022:34:57%20GMT	http://phydev.web44.net/flame/css/owl.carousel.min.css	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/css/owl.carousel.min.css	(from http://phydev.web44.net/flame/index-1.html)
15:23:11	7067/7067	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Nov%202017%2022:34:46%20GMT	http://phydev.web44.net/flame/css/etlinefont.min.css	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/css/etlinefont.min.css	(from http://phydev.web44.net/flame/index-1.html)
15:23:11	31000/31000	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Nov%202017%2022:34:56%20GMT	http://phydev.web44.net/flame/css/font-awesome.min.css	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/css/font-awesome.min.css	(from http://phydev.web44.net/flame/index-1.html)
15:23:11	121200/121200	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Nov%202017%2022:34:54%20GMT	http://phydev.web44.net/flame/css/bootstrap.min.css	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/css/bootstrap.min.css	(from http://phydev.web44.net/flame/index-1.html)
15:23:12	47331/47331	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20Feb%202018%2008:49:40%20GMT	http://phydev.web44.net/flame/css/style.css	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/css/style.css	(from http://phydev.web44.net/flame/index-1.html)
15:23:12	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2019%20Nov%202017%2022:43:34%20GMT	http://phydev.web44.net/flame/img/favicone.ico	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/favicone.ico	(from http://phydev.web44.net/flame/index-1.html)
15:23:13	11596/11596	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202017%2022:42:57%20GMT	http://phydev.web44.net/flame/img/apple-favicon.png	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/apple-favicon.png	(from http://phydev.web44.net/flame/index-1.html)
15:23:14	15308/15308	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202017%2022:42:57%20GMT	http://phydev.web44.net/flame/img/apple-touch-icon-ipad.png	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/apple-touch-icon-ipad.png	(from http://phydev.web44.net/flame/index-1.html)
15:23:14	12200/12200	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202017%2022:43:33%20GMT	http://phydev.web44.net/flame/img/brand-img.png	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/brand-img.png	(from http://phydev.web44.net/flame/index-1.html)
15:23:16	28282/28282	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202017%2022:43:01%20GMT	http://phydev.web44.net/flame/img/apple-touch-icon-iphone4.png	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/apple-touch-icon-iphone4.png	(from http://phydev.web44.net/flame/index-1.html)
15:23:17	18027/18027	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202017%2022:44:26%20GMT	http://phydev.web44.net/flame/img/title-splash.png	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/title-splash.png	(from http://phydev.web44.net/flame/index-1.html)
